Temp,CPU
48.0,1500345728
49.0,1500345728
51.0,1500345728
51.0,1500398464
50.0,1500398464
52.0,1500345728
52.0,1500345728
52.0,1500345728
53.0,1500345728
53.0,1500345728
53.0,1500345728
54.0,1500345728
53.0,1500398464
54.0,1500345728
54.0,1500345728
54.0,1500398464
54.0,1500345728
55.0,1500345728
54.0,1500345728
54.0,1500345728
54.0,1500345728
55.0,1500345728
55.0,1500345728
54.0,1500345728
55.0,1500345728
55.0,1500345728
55.0,1500345728
55.0,1500345728
54.0,1500398464
55.0,1500398464
54.0,1500398464
55.0,1500345728
55.0,1500398464
55.0,1500345728
54.0,1500345728
55.0,1500345728
55.0,1500345728
56.0,1500398464
55.0,1500345728
55.0,1500398464
56.0,1500345728
55.0,1500398464
55.0,1500345728
55.0,1500398464
56.0,1500345728
55.0,1500345728
56.0,1500398464
56.0,1500398464
56.0,1500345728
55.0,1500345728
55.0,1500398464
56.0,1500398464
55.0,1500398464
54.0,1500398464
55.0,1500345728
55.0,1500345728
55.0,1500345728
56.0,1500345728
56.0,1500398464
56.0,1500345728
55.0,1500345728
55.0,1500345728
56.0,1500345728
56.0,1500398464
56.0,1500398464
56.0,1500345728
56.0,1500345728
57.0,1500345728
56.0,1500345728
55.0,1500345728
55.0,1500398464
56.0,1500345728
56.0,1500345728
56.0,1500345728
56.0,1500398464
55.0,1500345728
56.0,1500345728
55.0,1500345728
55.0,1500345728
56.0,1500345728
56.0,1500398464
57.0,1500345728
57.0,1500345728
56.0,1500345728
57.0,1500398464
56.0,1500398464
56.0,1500345728
56.0,1500345728
56.0,1500345728
57.0,1500398464
56.0,1500398464
57.0,1500345728
57.0,1500398464
56.0,1500345728
55.0,1500398464
57.0,1500398464
56.0,1500345728
56.0,1500398464
55.0,1500398464
56.0,1500345728
56.0,1500345728
56.0,1500345728
57.0,1500398464
56.0,1500398464
57.0,1500398464
57.0,1500345728
57.0,1500398464
57.0,1500398464
58.0,1500398464
55.0,1500398464
56.0,1500345728
56.0,1500345728
57.0,1500345728
56.0,1500345728
56.0,1500345728
58.0,1500345728
57.0,1500345728
57.0,1500345728
56.0,1500345728
56.0,1500345728
57.0,1500345728
57.0,1500345728
57.0,1500398464
57.0,1500345728
57.0,1500398464
57.0,1500345728
58.0,1500345728
57.0,1500398464
56.0,1500345728
58.0,1500345728
58.0,1500345728
56.0,1500398464
56.0,1500345728
57.0,1500398464
58.0,1500345728
57.0,1500345728
58.0,1500398464
57.0,1500398464
58.0,1500345728
57.0,1500398464
57.0,1500398464
57.0,1500345728
57.0,1500398464
56.0,1500345728
57.0,1500345728
57.0,1500398464
56.0,1500345728
57.0,1500398464
57.0,1500345728
58.0,1500398464
57.0,1500398464
57.0,1500345728
57.0,1500398464
58.0,1500398464
57.0,1500345728
57.0,1500345728
57.0,1500345728
58.0,1500398464
57.0,1500398464
56.0,1500345728
57.0,1500398464
56.0,1500345728
57.0,1500345728
58.0,1500345728
57.0,1500398464
57.0,1500345728
56.0,1500345728
58.0,1500345728
57.0,1500398464
56.0,1500398464
57.0,1500345728
58.0,1500345728
58.0,1500345728
57.0,1500345728
57.0,1500345728
57.0,1500398464
57.0,1500345728
58.0,1500345728
57.0,1500398464
57.0,1500398464
57.0,1500398464
58.0,1500345728
58.0,1500345728
57.0,1500345728
57.0,1500398464
57.0,1500398464
57.0,1500398464
57.0,1500345728
58.0,1500345728
58.0,1500398464
58.0,1500398464
58.0,1500345728
58.0,1500398464
57.0,1500398464
57.0,1500398464
58.0,1500345728
57.0,1500398464
58.0,1500345728
58.0,1500345728
58.0,1500398464
57.0,1500398464
58.0,1500345728
58.0,1500398464
59.0,1500398464
59.0,1500345728
57.0,1500345728
58.0,1500398464
57.0,1500398464
57.0,1500345728
57.0,1500398464
57.0,1500345728
57.0,1500345728
58.0,1500345728
57.0,1500398464
58.0,1500398464
57.0,1500345728
58.0,1500398464
58.0,1500345728
58.0,1500345728
57.0,1500398464
57.0,1500345728
58.0,1500398464
57.0,1500345728
58.0,1500345728
57.0,1500398464
57.0,1500345728
58.0,1500345728
58.0,1500398464
58.0,1500398464
57.0,1500398464
58.0,1500398464
58.0,1500345728
57.0,1500345728
58.0,1500345728
59.0,1500398464
58.0,1500398464
57.0,1500345728
57.0,1500345728
58.0,1500345728
57.0,1500345728
58.0,1500345728
59.0,1500345728
58.0,1500345728
59.0,1500398464
57.0,1500345728
57.0,1500398464
59.0,1500345728
58.0,1500398464
58.0,1500398464
58.0,1500398464
58.0,1500398464
58.0,1500345728
58.0,1500398464
60.0,1500345728
59.0,1500345728
58.0,1500345728
58.0,1500345728
58.0,1500345728
59.0,1500345728
58.0,1500398464
58.0,1500398464
58.0,1500345728
59.0,1500398464
58.0,1500398464
58.0,1500345728
58.0,1500345728
58.0,1500345728
59.0,1500398464
59.0,1500345728
57.0,1500345728
58.0,1500345728
58.0,1500345728
58.0,1500345728
59.0,1500398464
59.0,1500398464
59.0,1500345728
59.0,1500345728
58.0,1500398464
57.0,1500345728
58.0,1500345728
59.0,1500345728
57.0,1500398464
58.0,1500345728
58.0,1500398464
58.0,1500345728
58.0,1500398464
59.0,1500345728
58.0,1500345728
59.0,1500345728
58.0,1500345728
58.0,1500398464
59.0,1500398464
59.0,1500398464
58.0,1500398464
58.0,1500345728
59.0,1500345728
58.0,1500345728
59.0,1500398464
59.0,1500398464
59.0,1500398464
59.0,1500345728
59.0,1500345728
59.0,1500398464
59.0,1500398464
59.0,1500398464
57.0,1500345728
58.0,1500398464
58.0,1500398464
60.0,1500398464
60.0,1500345728
59.0,1500398464
59.0,1500398464
58.0,1500345728
59.0,1500345728
59.0,1500398464
59.0,1500398464
58.0,1500345728
59.0,1500398464
58.0,1500398464
58.0,1500345728
59.0,1500345728
60.0,1500345728
58.0,1500345728
59.0,1500345728
58.0,1500398464
59.0,1500345728
59.0,1500345728
59.0,1500345728
60.0,1500398464
59.0,1500345728
58.0,1500345728
58.0,1500345728
59.0,1500345728
58.0,1500398464
59.0,1500345728
59.0,1500398464
59.0,1500345728
59.0,1500345728
59.0,1500345728
58.0,1500345728
59.0,1500345728
59.0,1500398464
59.0,1500345728
58.0,1500398464
59.0,1500398464
59.0,1500398464
58.0,1500345728
59.0,1500345728
59.0,1500345728
58.0,1500345728
59.0,1500398464
59.0,1500345728
59.0,1500345728
59.0,1500345728
59.0,1500398464
59.0,1500398464
59.0,1500398464
58.0,1500398464
59.0,1500398464
60.0,1500345728
59.0,1500345728
58.0,1500345728
59.0,1500345728
59.0,1500345728
59.0,1500398464
59.0,1500345728
59.0,1500345728
59.0,1500398464
58.0,1500398464
59.0,1500345728
59.0,1500345728
60.0,1500345728
60.0,1500345728
58.0,1500345728
59.0,1500398464
59.0,1500345728
59.0,1500398464
59.0,1500345728
59.0,1500398464
59.0,1500398464
59.0,1500398464
59.0,1500398464
59.0,1500345728
60.0,1500345728
59.0,1500345728
58.0,1500398464
59.0,1500345728
59.0,1500398464
60.0,1500345728
59.0,1500345728
59.0,1500398464
60.0,1500398464
59.0,1500398464
59.0,1500345728
59.0,1500345728
59.0,1500345728
59.0,1500345728
60.0,1500398464
59.0,1500345728
58.0,1500345728
60.0,1500398464
59.0,1500345728
60.0,1500345728
59.0,1500345728
59.0,1500345728
59.0,1500345728
59.0,1500398464
59.0,1500345728
60.0,1500345728
60.0,1500398464
59.0,1500398464
59.0,1500398464
59.0,1500398464
59.0,1500345728
58.0,1500398464
59.0,1500398464
60.0,1500345728
59.0,1500345728
60.0,1500345728
59.0,1500398464
59.0,1500398464
60.0,1500398464
60.0,1500345728
60.0,1500398464
59.0,1500345728
59.0,1500345728
60.0,1500398464
60.0,1500345728
59.0,1500398464
59.0,1500398464
60.0,1500398464
60.0,1500398464
59.0,1500398464
60.0,1500345728
60.0,1500398464
59.0,1500398464
60.0,1500398464
60.0,1500398464
59.0,1500398464
60.0,1500345728
60.0,1500345728
59.0,1500345728
59.0,1500345728
59.0,1500398464
59.0,1500345728
59.0,1500398464
59.0,1500345728
59.0,1500345728
59.0,1500345728
59.0,1500345728
61.0,1500345728
59.0,1500345728
60.0,1500398464
59.0,1500398464
61.0,1500345728
59.0,1500345728
58.0,1500398464
60.0,1500345728
60.0,1500398464
59.0,1500398464
59.0,1500398464
58.0,1500345728
60.0,1500345728
59.0,1500345728
60.0,1500345728
60.0,1500345728
60.0,1500345728
60.0,1500345728
59.0,1500398464
60.0,1500345728
59.0,1500398464
59.0,1500398464
60.0,1500398464
59.0,1500345728
59.0,1500398464
59.0,1500345728
59.0,1500345728
59.0,1500398464
60.0,1500398464
61.0,1500345728
60.0,1500345728
59.0,1500345728
59.0,1500345728
59.0,1500398464
60.0,1500398464
60.0,1500345728
60.0,1500398464
61.0,1500345728
60.0,1500398464
60.0,1500345728
59.0,1500398464
60.0,1500398464
59.0,1500345728
60.0,1500345728
59.0,1500398464
59.0,1500345728
61.0,1500345728
60.0,1500345728
60.0,1500345728
60.0,1500345728
60.0,1500345728
59.0,1500398464
59.0,1500345728
60.0,1500398464
60.0,1500398464
59.0,1500398464
60.0,1500398464
60.0,1500345728
60.0,1500345728
59.0,1500398464
60.0,1500398464
59.0,1500345728
60.0,1500345728
60.0,1500398464
61.0,1500345728
60.0,1500345728
60.0,1500345728
60.0,1500345728
61.0,1500345728
59.0,1500398464
60.0,1500345728
59.0,1500398464
60.0,1500398464
60.0,1500345728
60.0,1500345728
59.0,1500345728
60.0,1500398464
61.0,1500398464
59.0,1500345728
60.0,1500345728
59.0,1500398464
60.0,1500345728
60.0,1500398464
60.0,1500345728
59.0,1500398464
60.0,1500345728
60.0,1500345728
60.0,1500398464
60.0,1500398464
60.0,1500345728
60.0,1500345728
60.0,1500398464
59.0,1500345728
60.0,1500345728
60.0,1500398464
55.0,1500345728
54.0,1500398464
54.0,1500345728
54.0,1500345728
53.0,1500345728
53.0,600169920
53.0,600169920
52.0,600169920
52.0,600117184
52.0,600169920
52.0,600117184
51.0,600117184
51.0,600117184
51.0,600117184
52.0,600169920
51.0,700207040
51.0,600117184
51.0,600117184
50.0,600169920
52.0,600169920
51.0,600169920
51.0,600169920
52.0,600117184
51.0,600117184
50.0,600169920
51.0,600169920
50.0,600117184
51.0,600169920
50.0,600117184
51.0,600117184
50.0,600117184
50.0,600117184
50.0,600169920
51.0,600169920
50.0,600117184
50.0,600169920
50.0,800191424
50.0,700154304
50.0,600169920
50.0,600169920
51.0,600169920
50.0,700154304
51.0,600169920
49.0,600169920
50.0,600169920
50.0,600169920
49.0,600169920
50.0,600117184
49.0,600169920
50.0,600169920
50.0,600117184
50.0,600117184
50.0,600169920
49.0,600169920
48.0,600117184
50.0,600169920
50.0,600169920
49.0,600169920
49.0,600117184
49.0,700154304
49.0,600169920
49.0,600169920
49.0,600117184
50.0,600117184
48.0,600169920
49.0,600169920
48.0,600117184
49.0,600169920
49.0,600169920
49.0,700207040
50.0,600117184
48.0,600117184
49.0,600169920
49.0,600169920
50.0,600169920
48.0,600169920
48.0,600169920
49.0,600169920
49.0,600117184
49.0,600117184
48.0,600169920
49.0,600117184
49.0,600117184
48.0,600169920
49.0,600117184
48.0,600117184
48.0,600117184
50.0,600117184
48.0,600169920
49.0,600117184
49.0,600117184
49.0,600169920
49.0,600117184
49.0,600117184
48.0,600169920
49.0,600117184
49.0,600169920
49.0,600117184
49.0,600169920
48.0,700207040
49.0,600169920
49.0,600169920
48.0,600117184
49.0,600169920
48.0,600117184
48.0,600117184
49.0,600117184
49.0,700154304
48.0,600169920
48.0,600117184
48.0,600117184
48.0,600117184
48.0,600169920
50.0,600169920
48.0,600169920
48.0,600117184
49.0,600169920
48.0,600169920
49.0,600169920
48.0,600169920
47.0,600169920
49.0,600169920
48.0,700154304
48.0,600169920
47.0,600169920
48.0,600117184
48.0,600117184
48.0,600117184
49.0,600169920
49.0,600169920
50.0,600169920
50.0,600169920
48.0,600169920
48.0,600117184
48.0,600169920
48.0,600117184
48.0,600169920
48.0,600117184
48.0,600117184
47.0,700154304
47.0,600169920
48.0,600117184
49.0,700154304
48.0,600117184
48.0,600117184
48.0,600169920
48.0,600117184
48.0,700154304
48.0,600169920
50.0,600117184
49.0,600169920
48.0,600117184
48.0,600117184
47.0,600169920
47.0,600117184
47.0,600117184
48.0,600117184
48.0,600117184
48.0,600117184
47.0,700154304
47.0,600169920
49.0,600117184
48.0,600117184
48.0,600169920
48.0,700207040
48.0,600117184
48.0,600117184
48.0,600169920
49.0,600117184
47.0,600117184
49.0,600117184
47.0,600117184
47.0,600117184
47.0,600169920
47.0,700154304
47.0,600169920
48.0,600169920
48.0,600169920
47.0,600117184
48.0,600117184
49.0,600117184
48.0,600169920
48.0,600169920
48.0,600117184
48.0,600117184
47.0,600169920
47.0,700154304
48.0,600117184
48.0,600169920
48.0,600169920
47.0,700154304
49.0,600169920
48.0,600169920
48.0,600169920
49.0,600169920
47.0,700154304
48.0,600117184
48.0,600117184
48.0,600169920
48.0,600169920
48.0,600117184
48.0,600117184
47.0,600169920
48.0,600169920
48.0,600169920
48.0,600117184
47.0,600169920
48.0,600169920
47.0,600117184
48.0,600169920
47.0,600117184
47.0,600169920
48.0,600117184
48.0,600117184
47.0,600117184
49.0,600169920
48.0,600117184
47.0,600117184
48.0,600117184
48.0,600117184
48.0,600169920
48.0,600169920
49.0,600169920
48.0,600169920
48.0,600169920
48.0,600117184
47.0,600117184
48.0,600169920
48.0,600169920
47.0,600169920
47.0,600117184
48.0,600169920
47.0,600169920
48.0,700154304
47.0,600117184
47.0,600169920
48.0,600169920
48.0,600169920
47.0,600169920
48.0,600169920
47.0,600169920
47.0,600169920
47.0,600117184
47.0,600117184
46.0,600169920
47.0,600169920
48.0,600117184
47.0,600169920
48.0,600169920
48.0,600169920
47.0,600169920
47.0,600169920
47.0,600117184
49.0,600169920
48.0,600169920
47.0,600169920
47.0,600169920
48.0,600169920
48.0,600169920
47.0,600169920
48.0,600169920
48.0,600117184
49.0,600117184
48.0,600117184
48.0,600169920
48.0,700207040
47.0,600169920
48.0,600117184
47.0,600117184
48.0,700154304
48.0,600117184
48.0,600117184
48.0,700154304
47.0,600117184
47.0,600117184
47.0,600169920
48.0,600169920
47.0,600169920
47.0,600117184
47.0,600169920
47.0,600169920
48.0,600169920
48.0,600169920
47.0,700154304
47.0,600169920
48.0,600169920
47.0,600169920
47.0,600117184
47.0,600117184
48.0,600169920
47.0,600117184
46.0,600169920
46.0,600117184
